model,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.6,0.98,0.778404417812243,0.8540143280448592,0.7974218767974772,0.795713664147255,10,0.7836990595611284,31,0.56672760511883,10.266457680250783,30.932358318098718
hgb,0.65,0.98,0.7778169427799319,0.8527081629455907,0.796828779377261,0.7953835851292838,10,0.7836990595611284,27,0.4936014625228519,10.658307210031348,31.0054844606947
hgb,0.7,0.98,0.7766419927153096,0.8499510815326531,0.795339134890153,0.7946304753654191,10,0.7836990595611284,23,0.4204753199268739,11.598746081504702,31.078610603290674
hgb,0.2,0.985,0.761250146868758,0.8560897575610489,0.7848438449691183,0.7769693782388902,6,0.4702194357366771,83,1.517367458866545,5.4858934169279,33.54661791590494
hgb,0.25,0.985,0.7607801668429092,0.8547553230528329,0.7856217554939083,0.7772074461213037,6,0.4702194357366771,66,1.206581352833638,6.112852664576803,33.85740402193784
hgb,0.3,0.985,0.7604276818235225,0.8536821215644709,0.7856920035211368,0.7772089929049277,6,0.4702194357366771,60,1.0968921389396709,6.661442006269593,33.96709323583181
hgb,0.35,0.985,0.759605216778287,0.8515639879966937,0.7848775992520993,0.7767994347649485,6,0.4702194357366771,56,1.023765996343693,7.523510971786834,34.040219378427786
hgb,0.4,0.985,0.7586652567265891,0.8494017482306638,0.7837129273735995,0.7762097183013849,6,0.4702194357366771,53,0.9689213893967094,8.22884012539185,34.09506398537477
hgb,0.45,0.985,0.7577252966748913,0.8472395084646339,0.7831429344409168,0.775841345256405,6,0.4702194357366771,43,0.7861060329067643,8.934169278996865,34.27787934186471
hgb,0.5,0.985,0.7573728116555046,0.8463110581906722,0.7831682021675195,0.7758085059479054,6,0.4702194357366771,37,0.676416819012797,9.32601880877743,34.38756855575868
hgb,0.55,0.985,0.7564328516038068,0.8441488184246423,0.7819928932686206,0.7752150771183393,6,0.4702194357366771,34,0.6215722120658135,10.031347962382444,34.44241316270566
hgb,0.6,0.985,0.7559628715779579,0.8428867595236267,0.7815966777451426,0.7750138950670766,6,0.4702194357366771,31,0.56672760511883,10.579937304075235,34.49725776965265
hgb,0.65,0.985,0.7553753965456468,0.8415805944243581,0.7810292341888814,0.7746997762429301,6,0.4702194357366771,27,0.4936014625228519,10.9717868338558,34.57038391224863
hgb,0.7,0.985,0.7542004464810246,0.8388235130114204,0.7795814291202463,0.7739726962899943,6,0.4702194357366771,23,0.4204753199268739,11.912225705329153,34.643510054844604
hgb,0.2,0.99,0.7312889202208906,0.8413179660223443,0.7636178642304006,0.7483485048055111,4,0.3134796238244514,83,1.517367458866545,5.6426332288401255,38.318098720292504
hgb,0.25,0.99,0.7308189401950417,0.8399835315141283,0.7644743946467624,0.748635484957443,4,0.3134796238244514,66,1.206581352833638,6.269592476489027,38.62888482632541
hgb,0.3,0.99,0.730466455175655,0.8389103300257662,0.7645806604570465,0.7486594397026793,4,0.3134796238244514,60,1.0968921389396709,6.8181818181818175,38.738574040219376
hgb,0.35,0.99,0.7296439901304195,0.8367921964579891,0.7638088942126352,0.7482764082153136,4,0.3134796238244514,56,1.023765996343693,7.6802507836990594,38.81170018281536
hgb,0.4,0.99,0.7287040300787216,0.8346299566919594,0.762683090464618,0.7477108730172776,4,0.3134796238244514,53,0.9689213893967094,8.385579937304074,38.866544789762344
hgb,0.45,0.99,0.7277640700270238,0.8324677169259292,0.7621754362659748,0.7473812831466299,4,0.3134796238244514,43,0.7861060329067643,9.090909090909092,39.04936014625229
